Movie Name,Total Cast,Genre
The Third Man,"('Harold Ayer', 'Harry Belcher', 'Hedwig Bleibtreu', 'Jack Arrow', 'Nelly Arno', 'Alida Valli', 'Bernard Lee', 'Erich Ponto', 'Ernst Deutsch', 'Joseph Cotten', 'Orson Welles', 'Paul Hörbiger', 'Siegfried Breuer', 'Trevor Howard', 'Wilfrid Hyde-White')","['Mystery', 'Thriller', 'Film-Noir']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"('Frank Berry', 'Glenn Beck', 'Hal Galili', 'Jack Creley', 'James Earl Jones', 'Keenan Wynn', 'Peter Bull', ""Robert O'Neil"", 'Roy Stephens', 'Shane Rimmer', 'Slim Pickens', 'Sterling Hayden', 'Tracy Reed', 'George C. Scott', 'Peter Sellers')","['Thriller', 'Comedy']"
"Quo Vadis, Aida?","('Alban Ukaj', 'Edita Malovcic', 'Ermin Bravo', 'Jelena Kordic', 'Juda Goslinga', 'Boris Isakovic', 'Boris Ler', 'Dino Bajrovic', 'Emir Hadzihafizbegovic', 'Izudin Bajrovic', 'Jasna Djuricic', 'Johan Heldenbergh', 'Raymond Thiry', 'Reinout Bussemaker', 'Teun Luijkx')","['Drama', 'History', 'War']"
Gone with the Wind,"('Alicia Rhett', 'Ann Rutherford', ""Barbara O'Neil"", 'Butterfly McQueen', 'Evelyn Keyes', 'Everett Brown', 'Fred Crane', 'George Reeves', 'Hattie McDaniel', 'Howard C. Hickman', 'Leslie Howard', 'Oscar Polk', 'Thomas Mitchell', 'Victor Jory', 'Vivien Leigh')","['Drama', 'History', 'Romance', 'War']"
"4 Months, 3 Weeks and 2 Days","('Adi Carauleanu', 'Alexandru Potocean', 'Cerasela Iosifescu', 'Constantin Bojog', 'Costica Babu', 'Cristina Burbuz', 'Doru Ana', 'Eugenia Bosânceanu', 'Ion Sapdaru', 'Laura Vasiliu', 'Liliana Mocanu', 'Luminita Gheorghiu', 'Marioara Sterian', 'Mihaela Alexandru', 'Monica Alexandrescu', 'Tania Popa', 'Teodor Corban', 'Anamaria Marinca', 'Vlad Ivanov')",['Drama']
Psycho,"('Fletcher Allen', 'Frank Albertson', 'John Anderson', 'John Gavin', 'John McIntire', 'Lurene Tuttle', 'Martin Balsam', 'Mort Mills', 'Patricia Hitchcock', 'Simon Oakland', 'Vaughn Taylor', 'Vera Miles', 'Walter Bacon', 'Anthony Perkins', 'Janet Leigh')","['Mystery', 'Thriller', 'Horror']"
Battleship Potemkin,"('Beatrice Vitoldi', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei M. Eisenstein', 'A. Glauberman', 'Aleksandr Antonov', 'Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Konstantin Feldman', 'Mikhail Gomorov', 'N. Poltavtseva', 'Prokhorenko', 'Vladimir Barskiy')","['Drama', 'History', 'Thriller', 'War']"
A Streetcar Named Desire,"('Dahn Ben Amotz', 'Edna Thomas', 'Marietta Canty', 'Mel Archer', 'Mickey Kuhn', 'Ann Dere', 'Karl Malden', 'Kim Hunter', 'Marlon Brando', 'Nick Dennis', 'Peg Hillias', 'Richard Garrick', 'Rudy Bond', 'Vivien Leigh', 'Wright King')",['Drama']
The Maltese Falcon,"('Charles Drake', 'Chester Gan', 'James Burke', 'John Hamilton', 'Murray Alper', 'Barton MacLane', 'Elisha Cook Jr.', 'Gladys George', 'Humphrey Bogart', 'Jerome Cowan', 'Lee Patrick', 'Mary Astor', 'Peter Lorre', 'Sydney Greenstreet', 'Ward Bond')","['Mystery', 'Film-Noir']"
American Graffiti,"('Beau Gentry', 'Deby Celiz', 'Harrison Ford', 'Jana Bellan', 'Jim Bohan', 'Bo Hopkins', 'Candy Clark', 'Charles Martin Smith', 'Cindy Williams', 'Mackenzie Phillips', 'Manuel Padilla Jr.', 'Paul Le Mat', 'Richard Dreyfuss', 'Ron Howard', 'Wolfman Jack')","['Drama', 'Comedy']"
